id;dep_id;nama;deskripsi;foto
66;31;Internasional Student Virtual Mobility Program (ISVMP) 2021;Winner of The Best Group Poster Category at Internasional Student Virtual Mobility Program (ISVMP) 2021;prestasi.png
67;32;Proyek Pengelolaan Sampah Forum Pemuda Peduli Sampah 2020 tingkat nasional;Juara 2 Proposal dan Presentasi Proyek Pengelolaan Sampah Forum Pemuda Peduli Sampah 2020 tingkat nasional;prestasi.png
68;32;International Science and Invention Fair 2020;Silver Medal International Science and Invention Fair 2020;prestasi.png
69;32;International Invention Competition for Young Moslem Scientists;Bronze Medal International Invention Competition for Young Moslem Scientists;prestasi.png
70;33;Kompetisi Poster Nasional TELESCOPE 2021;Medali Emas Kompetisi Poster Nasional TELESCOPE 2021;prestasi.png
71;33;Lomba Karya Tulis Ilmiah Nasional FT UHO 2021;Juara 2 Lomba Karya Tulis Ilmiah Nasional FT UHO 2021;prestasi.png
72;33;Kategori Kota Cerdas Gemastik VIII Tahun 2020;Juara 2 Kategori Kota Cerdas Gemastik VIII Tahun 2020;prestasi.png
73;34;Business Plan Competition UNIMED 2020;Juara 1 Business Plan Competition UNIMED 2020;prestasi.png
74;34;Youthpreneur In Action 2021 Universitas Podomoro;Juara 3 Youthpreneur In Action 2021 Universitas Podomoro;prestasi.png
75;34;Integrated Solution with GIS;Juara 2 lomba Integrated Solution with GIS;prestasi.png
76;35;Oil Rig Design Competition at Boreyes International Energy Fair 2021;Juara 1 Oil Rig Design Competition at Boreyes International Energy Fair 2021;prestasi.png
77;35;Smart Competition at Boreyes International Energy Fair 2021;2nd Runner Up Smart Competition at Boreyes International Energy Fair 2021;prestasi.png
78;35;Geothermal Case Study- Oil and Gas Intellectual Parade 2021;2nd Runner Up Geothermal Case Study- Oil and Gas Intellectual Parade 2021;prestasi.png
79;36;Kompetisi Jembatan Indonesia (KJI) ke-15 2019;Juara umum Kompetisi Jembatan Indonesia (KJI) ke-15 2019;prestasi.png
80;36;Kompetisi Bangunan Gedung Indonesia (KBGI) ke-11 2019;Juara Umum Kompetisi Bangunan Gedung Indonesia (KBGI) ke-11 2019;prestasi.png
81;36;Lomba Edutainer Science Competition 2021;Medali silver Lomba Edutainer Science Competition 2021;prestasi.png
82;37;International Science Technology Engineering and Competition;Medali perak dalam ajang International Science Technology Engineering and Competition;prestasi.png
83;37;Indonesia International Applied Science Olympiad (I2ASPO) pada kategori Applied Physics and Engineering;Medali emas dalam ajang Indonesia International Applied Science Olympiad (I2ASPO) pada kategori Applied Physics and Engineering;prestasi.png
84;37;Kontes Mobil Hemat Energi;Juara 1 Kontes Mobil Hemat Energi;prestasi.png
85;38;Kontes Robot Indonesia Regional II 2020 kategori Running, Ball dribbling, and Robot Coordination;Juara 1 Kontes Robot Indonesia Regional II 2020 kategori Running, Ball dribbling, and Robot Coordination;prestasi.png
86;38;PKM Karya Inovatif PIMNAS 34;Medali Emas kategori Presentasi PKM Karya Inovatif PIMNAS 34;prestasi.png
87;38;Olimpiade Vokasi Indonesia;Juara 2 Olimpiade Vokasi Indonesia;prestasi.png
88;40;World Invention Competition and Exhibition;Silver Medal World Invention Competition and Exhibition;prestasi.png
89;40;Kategori Kontes Robot Sepak Bola Beroda 2021;Juara 2 Kategori Kontes Robot Sepak Bola Beroda 2021;prestasi.png
90;40;Kategori Kontes Robot Abu Indonesia (KRAI) 2021;Juara 1 dan Penghargaan Strategi Terbaik- Kategori Kontes Robot Abu Indonesia (KRAI) 2021;prestasi.png
91;41;Lomba Karya Tulis Ilmiah Nasional Pekan Raya Ekonomi;Juara 2 Lomba Karya Tulis Ilmiah Nasional Pekan Raya Ekonomi;prestasi.png
92;41;Urban Electric dalam Kontes Mobil Hemat Energi 2019;Juara 1 Urban Electric dalam Kontes Mobil Hemat Energi 2019;prestasi.png
93;41;Urban Ethanol dalam Kontes Mobil Hemat Energi 2019;Juara 2 Urban Ethanol dalam Kontes Mobil Hemat Energi 2019;prestasi.png
